video_mean,video_std,video_max,video_min,video_median,mfcc_mean,mfcc_std,spectral_centroid_mean,zero_crossing_rate_mean,text_embedding_mean,text_embedding_std,text_length,speaker,Sr No.,Sentiment
37.89995515784439,38.654063252717116,252,0,26.0,-16.128654,83.794334,2696.8372050665066,0.15680338541666666,-0.011853058,0.55071795,9,139379361,4,neutral
71.33144232302296,50.66119350473497,245,0,66.0,-23.118704,89.02084,2027.648941704253,0.12103999426605505,-0.009814705,0.52314013,7,172183081,18,negative
41.94023138552296,36.46708379446605,255,0,31.0,-30.557299,100.13944,2433.164661012345,0.11908534787735849,-0.009709426,0.51868266,9,373341654,40,neutral
28.735231983418366,25.83622106299144,255,0,20.0,-26.914677,108.30324,3129.9752712218683,0.1971435546875,-0.009664539,0.51977414,1,172183081,53,neutral
31.05373086734694,38.14841435092772,255,0,13.0,-8.41699,64.35148,2170.43055783675,0.12498316271551724,-0.010015375,0.51915276,3,2298605868,69,neutral
21.249116111288266,30.264716369982835,251,0,8.0,-8.939813,61.70758,2328.4900660477215,0.13381231398809523,-0.009305899,0.5163127,6,2298605868,71,negative
21.894760443239797,32.13525790083484,254,0,9.0,-19.78895,99.63007,2798.368134297097,0.122509765625,-0.009055737,0.5140383,1,2193894073,83,negative
18.672807716836736,29.789521538418498,255,0,8.0,-17.875465,81.063095,2305.121277622142,0.1365282012195122,-0.010291121,0.5425926,4,2193894073,87,negative
47.75611049107143,41.03445944540165,254,0,37.0,-14.671957,98.921776,2071.996749091649,0.09095110212053571,-0.011950575,0.55238307,2,2536076350,95,neutral
48.26337292729592,40.95665074502109,255,0,41.0,-15.877893,77.98231,2184.7914760054628,0.13549677530924478,-0.010370922,0.5389607,12,838712619,145,neutral
52.12773038903061,44.34316650550957,255,0,44.0,-19.744596,86.251205,2514.695304877375,0.15489493760486578,-0.011439323,0.5485901,6,838712619,151,neutral
55.552735371492346,47.2228639446703,253,0,45.0,-20.77617,86.14082,2667.1832662591464,0.17974190090013586,-0.010136045,0.52745456,21,3580568151,154,negative
55.53936742665816,44.98890513416215,241,0,44.0,-16.80703,87.110405,2554.823943295636,0.13408895177165353,-0.008911371,0.5069012,9,172183081,185,negative
50.76999561543367,34.471873669796686,252,0,43.0,-11.833826,59.01792,1882.8625018636503,0.12477144281914894,-0.009381547,0.520141,7,838712619,187,positive
41.495672233737245,22.754662650934023,254,0,39.0,-18.192951,91.16468,2282.725128158226,0.1314971301020408,-0.009432701,0.51313937,1,1169874974,188,positive
48.09077447385204,29.10873244505906,249,0,40.0,-24.263643,118.65031,2259.8869662072016,0.09820416865458015,-0.009564615,0.52299964,1,838712619,194,neutral
52.492803332270405,30.519022138959574,247,0,49.0,-19.383003,90.55301,2185.7346749438057,0.12077505145958084,-0.010693775,0.5425119,9,2298605868,198,negative
59.97916135204082,33.53901565953938,246,0,56.0,-18.93754,88.300995,2004.9763891830867,0.11648011818910256,-0.01220645,0.55835265,6,838712619,200,negative
76.63561662946428,44.983699763028014,254,0,82.0,-20.091318,82.58821,3668.6111237779864,0.24260602678571427,-0.009916792,0.5167615,1,373341654,202,neutral
61.25316784917092,42.67262269684692,253,0,59.0,-24.05866,103.8173,2679.5263082799584,0.14564185049019607,-0.012533625,0.5718909,4,373341654,213,neutral
35.950824099170916,34.4845371867584,255,0,24.0,-23.914833,108.571335,1990.0180643647086,0.10558931327160494,-0.012333385,0.5545684,12,3755257647,232,neutral
61.77893116230867,56.04030954755718,254,0,53.0,-18.686281,74.60328,2225.6630839196296,0.12965997273489932,-0.009232036,0.5255646,6,2298605868,234,negative
52.228227638711736,41.829905158830776,254,0,52.0,-28.185553,105.01632,1760.7460395501967,0.08015452274659864,-0.009810955,0.5226337,10,2298605868,236,negative
62.00483099489796,40.24654449377672,253,0,53.0,-22.232841,82.38498,2232.4649033582405,0.1235205806902985,-0.010184604,0.5202151,7,373341654,240,negative
21.235304727359694,28.603763054370134,232,0,8.0,-23.79792,99.26244,2702.0883769991838,0.15237862723214285,-0.010857511,0.5406968,12,172183081,254,positive
